host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,host_listings_count
200181248,Maria José,2018-07-05,"Andalusia, Spain",within a few hours,f,12
175668869,Sergio,2018-02-27,"Andalusia, Spain",within an hour,f,3
16981595,Luisa,2014-06-19,"Benalmádena, Spain",within an hour,f,2
22358804,Pancho,2014-10-10,"Andalusia, Spain",within an hour,f,2
517907328,Javier,2023-06-02,Unknown,within an hour,f,5
299018801,Esther,2019-09-30,Unknown,within an hour,t,4
459701892,Jose Carlos,2022-05-18,Unknown,within an hour,t,2
197972732,Teatro Suites,2018-06-25,"Andalusia, Spain",within an hour,f,12
21521353,Leandro,2014-09-19,"Málaga, Spain",within an hour,f,56
22371898,Ali,2014-10-10,"Málaga, Spain",within an hour,t,43
4739907,Maria Del Mar,2013-01-17,"Málaga, Spain",within an hour,f,9
513244554,Holidu,2023-05-05,"Madrid, Spain",within an hour,f,142
17499500,Homeabout,2014-07-01,"Madrid, Spain",within an hour,f,104
278821830,Remy,2019-07-24,"Andalusia, Spain",within an hour,t,131
264904966,Ana,2019-05-29,Unknown,within an hour,f,3
500802995,Esther,2023-02-12,Unknown,within an hour,f,1
315205730,Hgh Prime,2019-12-07,Unknown,within an hour,f,9
191939936,Centric,2018-05-27,Unknown,within an hour,t,12
177866002,Jazmin,2018-03-11,"Andalusia, Spain",within an hour,f,10
528375695,Jose Maria,2023-07-28,"Málaga, Spain",Unknown,f,1
94173177,Living4Malaga,2016-09-08,"Andalusia, Spain",within an hour,f,115
252959314,Malaga,2019-04-03,"Málaga, Spain",within an hour,f,74
4841998,Emilia Y Pepe,2013-01-25,"Málaga, Spain",within an hour,f,7
57756025,Patricia,2016-02-07,"Málaga, Spain",within an hour,f,8
17330820,July,2014-06-27,"Andalusia, Spain",within an hour,f,1
8544512,Malaga Center Flat,2013-08-31,"Málaga, Spain",within an hour,f,73
561469398,Alberto,2024-02-11,Unknown,within an hour,f,1
152016953,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,f,84
233811452,Enjoy,2019-01-02,"Saint-Jean-de-Monts, France",within an hour,f,29
23441165,Andrea,2014-11-07,"Madrid, Spain",within an hour,f,42
335772675,Atarazanas,2020-02-13,Unknown,within an hour,t,2
92413558,Berta,2016-08-29,"Geneva, Switzerland",Unknown,f,2
507274875,Calu Homes,2023-03-27,"Málaga, Spain",within an hour,f,10
404900960,Araceli,2021-06-02,"Andalusia, Spain",within an hour,f,1
704931,Jessica,2011-06-15,"Málaga, Spain",Unknown,f,1
18185163,Javier,2014-07-16,"Málaga, Spain",within an hour,f,1
165640139,Roman,2018-01-03,"Málaga, Spain",within an hour,f,7
577695266,Ranar,2024-05-15,Unknown,within an hour,f,3
45749342,Malagasuite Showroom,2015-10-04,"Málaga, Spain",within an hour,f,110
458231954,Manuel,2022-05-09,Unknown,within an hour,f,3
16650042,R.U Sto Tomas,2014-06-11,"Málaga, Spain",within an hour,f,12
11318862,Maria Palma,2014-01-15,"Málaga, Spain",within an hour,t,7
552865894,Malaga Homes,2023-12-27,Unknown,within an hour,t,4
543234924,Fernando,2023-10-24,Unknown,within an hour,t,2
544527314,Casa Paco,2023-11-02,"Málaga, Spain",Unknown,f,1
2904820,Salvador,2012-07-11,"Málaga, Spain",within a day,f,1
97079426,Malaga Holiday And Rentals,2016-09-28,"Málaga, Spain",within an hour,t,5
403721006,Alvaro,2021-05-26,"Andalusia, Spain",within an hour,f,2
499357030,Olena,2023-02-03,Unknown,within an hour,f,1
324236176,Ondaluz Malaga,2020-01-04,Unknown,within an hour,f,10
518733463,Tetiana,2023-06-07,"Málaga, Spain",within an hour,f,7
299707679,Alejandro,2019-10-03,"Málaga, Spain",Unknown,f,2
277663300,Albert,2019-07-20,"Málaga, Spain",within an hour,f,34
431239042,Promociones,2021-11-10,Unknown,within an hour,f,18
282734106,Maria Victoria,2019-08-05,Unknown,within an hour,t,3
585925943,Lucas,2024-06-26,Unknown,Unknown,f,3
563010160,Claudia,2024-02-20,Unknown,within an hour,f,7
56760015,Alejandro,2016-01-30,"Málaga, Spain",within an hour,f,16
545041476,Millennials Living,2023-11-05,Unknown,within an hour,f,6
316795838,Renthas Hospitality,2019-12-12,Unknown,within an hour,f,88
11778619,Arantxa,2014-01-30,"Málaga, Spain",within an hour,t,14
156228684,Carlos,2017-10-25,"San Rafael, Spain",a few days or more,f,3
547667464,Tatiana,2023-11-22,"Málaga, Spain",Unknown,f,1
76605929,Cristina,2016-06-08,"Málaga, Spain",within an hour,f,1
74965400,Malena,2016-05-31,"Málaga, Spain",within an hour,f,7
449671063,Elena,2022-03-15,"Marbella, Spain",within an hour,f,16
6686185,Esther,2013-06-01,"Andalusia, Spain",within a day,f,1
544079567,Adelina,2023-10-30,"Málaga, Spain",within a day,f,2
167730931,Alberto,2018-01-14,"Málaga, Spain",within an hour,t,6
127195773,Mónica Y Juan,2017-04-23,"Málaga, Spain",within an hour,t,3
71144892,Beatriz V.,2016-05-09,"Málaga, Spain",Unknown,f,1
397053855,Sharing,2021-04-15,Unknown,within an hour,f,137
130723584,Santa Cruz,2017-05-17,"Andalusia, Spain",within an hour,f,12
453777166,Francisco,2022-04-11,Unknown,a few days or more,f,28
417642887,PineappleHomes,2021-08-09,Unknown,within an hour,Unknown,17
481148722,Monica,2022-09-26,Unknown,Unknown,f,1
