listing_id,host_id,longitude,latitude,room_type,accommodates,instant_bookable,base_price
1137342226502821161,165640139,-4.42011257592888,36.73089242291228,Private room,2,t,20.0
4751452,3083727,-4.34825,36.71709,Entire home/apt,6,f,150.0
607783515249998864,80225433,-4.46385,36.71663,Entire home/apt,6,t,105.0
54303884,122369926,-4.42373,36.73011,Entire home/apt,4,f,220.0
943960698500061514,540204096,-4.424265622090148,36.72972080181261,Entire home/apt,3,t,100.0
1161785253376877114,443119470,-4.4215500773203855,36.7350556413381,Private room,1,f,35.0
659352294168158025,466418138,-4.4486,36.69645,Entire home/apt,4,f,100.0
44437903,80225433,-4.46333,36.71764,Entire home/apt,6,t,90.0
28822611,215991222,-4.44678,36.69862,Entire home/apt,2,t,100.0
949238914115593342,529460142,-4.445317907727846,36.788226837487954,Entire home/apt,16,f,526.0
1103711803678851324,497339603,-4.4508348405361176,36.68452862699274,Entire home/apt,4,f,100.0
910014521228581988,502918612,-4.474202399999999,36.6981448,Private room,2,t,45.0
3229934,16347304,-4.44847,36.70922,Entire home/apt,4,f,63.0
1047141947333641073,163457693,-4.56325230978698,36.75552860898013,Entire home/apt,7,f,200.0
645641052367855231,33332125,-4.42282922565937,36.73013405539293,Private room,2,t,68.0
3569477,17971688,-4.45539,36.69739,Entire home/apt,5,f,72.0
19419556,82771604,-4.41651,36.73207,Private room,2,t,18.0
33743365,254357062,-4.450556560632907,36.685104194928776,Entire home/apt,3,t,140.0
686267739001263319,33332125,-4.42164,36.73019,Private room,1,t,50.0
23894393,170021426,-4.41034,36.72976,Private room,3,t,40.0
645620059964512902,33332125,-4.4227121,36.7298467,Private room,3,t,27.0
23892746,170021426,-4.41134,36.72945,Private room,2,t,50.0
34839485,154535771,-4.47581,36.74204,Private room,4,f,90.0
835530287597622531,502918612,-4.474202399999999,36.6981448,Private room,3,t,45.0
7983924,80225433,-4.45733,36.66449,Entire home/apt,8,t,120.0
18614024,1739208,-4.46112060546874,36.6651365380059,Entire home/apt,12,t,550.0
957108085378624547,531589128,-4.417857682612731,36.73919856401485,Private room,1,f,40.0
1076166996784627686,109796990,-4.422501863643047,36.72948553922219,Private room,2,f,27.0
1146122560362834421,456953042,-4.427343632602208,36.72976306775441,Entire home/apt,4,f,230.0
917181239317383242,520804588,-4.44789,36.6972,Entire home/apt,5,t,120.0
1147701093925675314,575377687,-4.4523264,36.6987893,Entire home/apt,6,t,250.0
781878948154762724,469211146,-4.4236951,36.7292845,Entire home/apt,5,t,96.0
20771300,82771604,-4.41656,36.73218,Private room,2,t,20.0
912105482501496586,491861698,-4.45304,36.68332,Entire home/apt,6,t,250.0
23894740,170021426,-4.40967,36.72978,Private room,2,t,40.0
1086777452227847624,165640139,-4.419052004814148,36.73045569597299,Private room,2,t,20.0
753941165328286199,165640139,-4.416026887446804,36.73079000640362,Private room,2,t,20.0
644494970070655390,463158755,-4.42924,36.73213,Entire home/apt,4,f,110.0
49731820,256088965,-4.42112,36.73115,Entire home/apt,2,f,50.0
656492815411991168,154026618,-4.4533966,36.7208592,Entire home/apt,5,t,172.0
49999426,144492609,-4.43535,36.71968,Private room,2,t,28.0
1966333,793360,-4.36088,36.72029,Private room,1,f,19.0
23235580,49350769,-4.43537,36.72381,Entire home/apt,4,t,38.0
36878743,138864019,-4.37963,36.72236,Entire home/apt,4,t,43.0
780114623048589162,61977582,-4.4143128,36.7294812,Entire home/apt,4,t,65.0
42587873,57245911,-4.37037,36.72367,Entire home/apt,2,f,120.0
611396825466289847,179717585,-4.44244,36.72649,Entire home/apt,4,f,100.0
53665990,215991222,-4.43577,36.7224,Entire home/apt,2,t,100.0
646709610138208724,5890675,-4.35584,36.7192,Entire home/apt,4,t,102.0
52796636,119973237,-4.36913,36.7223,Entire home/apt,6,f,182.0
29088081,255965078,-4.36847,36.72422,Entire home/apt,2,f,60.0
898121620713286769,138864019,-4.35758,36.72107,Entire home/apt,2,t,55.0
48641434,144539596,-4.43592,36.71346,Entire home/apt,2,t,60.0
1044828475524748218,550619088,-4.43732,36.71253,Entire home/apt,2,t,100.0
924477866711524995,521400575,-4.3573,36.71866,Entire home/apt,3,t,160.0
19975234,2489890,-4.4143,36.731,Entire home/apt,2,f,90.0
53337625,30189645,-4.37581,36.72082,Entire home/apt,3,t,80.0
1109439363632674401,550619088,-4.437975659966469,36.71184340879165,Entire home/apt,2,t,100.0
2206087,10163833,-4.37212,36.72093,Entire home/apt,5,t,63.0
26710378,111943290,-4.42106819152832,36.7294807434082,Entire home/apt,4,t,50.0
1126754174604086577,570386830,-4.35613,36.72084,Entire home/apt,4,f,100.0
9800222,50501116,-4.3569512367248535,36.720516204833984,Entire home/apt,3,f,50.0
917337730415457258,119973237,-4.36754,36.72028,Entire home/apt,4,f,160.0
1141182972342034919,291253690,-4.436060702833252,36.71368623896159,Entire home/apt,4,t,1000.0
565950387668491339,445859023,-4.3575649,36.7210595,Entire home/apt,5,f,85.0
51296202,1319215,-4.43533,36.712345,Entire home/apt,3,t,85.0
890974839752135591,514513905,-4.435974949073791,36.71190400911545,Entire home/apt,4,f,150.0
596182978958439041,44662538,-4.42155,36.73297,Entire home/apt,4,t,70.0
19950058,2489890,-4.4143,36.731,Entire home/apt,4,f,120.0
931833320634765077,33332125,-4.4214031,36.7295696,Entire home/apt,4,f,100.0
44586131,360830314,-4.546202,36.704441,Entire home/apt,12,t,200.0
875427434498802856,489887847,-4.42262,36.72925,Entire home/apt,3,t,99.0
567887281630457702,94057636,-4.415,36.73541,Entire home/apt,4,f,80.0
1096905373326868489,477398161,-4.3675536,36.721536,Entire home/apt,4,t,250.0
16431591,107736331,-4.41915,36.73156,Entire home/apt,4,t,110.0
873174747358388567,115644805,-4.427185301825197,36.71116042628528,Entire home/apt,2,f,95.0
21911238,154046886,-4.35794,36.72189,Entire home/apt,5,t,166.0
23705486,44936351,-4.3698,36.72586,Entire home/apt,4,t,60.0
33427016,251812916,-4.4109376,36.7299055,Entire home/apt,4,f,100.0
45168864,107736331,-4.420931816101074,36.731231689453125,Entire home/apt,3,f,85.0
13930046,82771604,-4.41845,36.73226,Entire home/apt,6,t,95.0
21248011,6394124,-4.43695,36.72064,Entire home/apt,2,t,65.0
881220196730658901,452464768,-4.435823803125691,36.70360448589438,Private room,4,f,150.0
596321294573200566,24788862,-4.410731,36.716964,Entire home/apt,2,f,69.0
1019362105430525913,89705945,-4.411279737667849,36.71790430164692,Entire home/apt,4,t,555.0
629619494090204796,384636592,-4.519220392504288,36.66835186093722,Entire home/apt,12,t,157.0
562787026196755026,197972732,-4.414983,36.733143,Entire home/apt,2,f,90.0
44438787,356310410,-4.435,36.70989,Entire home/apt,4,t,75.0
933237653062050357,317065206,-4.3733041,36.7209106,Entire home/apt,2,t,80.0
1187120581877993175,585727708,-4.438566562177071,36.714034464499534,Entire home/apt,4,t,140.0
13037382,72083591,-4.43582,36.72257,Entire home/apt,5,t,70.0
